START...
File . don't work
File .. don't work
File NSS.AMBX.NK.D14119.S0240.E0427.B8298586.GCcomplite with code 0
File NSS.HIRX.NP.D14118.S2042.E2231.B2690304.GCcomplite with code 0
File NSS.AMAX.NL.D14119.S0048.E0200.B7011819.WIcomplite with code 0
File NSS.AMBX.NK.D14119.S1940.E2134.B8299596.WIcomplite with code 1
File NSS.HIRX.NL.D14119.S0344.E0532.B7012021.GCcomplite with code 0
File NSS.AMBX.NK.D14119.S0111.E0244.B8298485.GCcomplite with code 0
File NSS.HIRX.NL.D14119.S0048.E0200.B7011819.WIcomplite with code 0
File NSS.AMAX.NL.D14119.S0716.E0857.B7012223.GCcomplite with code 0
File NSS.AMBX.NL.D14118.S1430.E1625.B7011213.GCcomplite with code 0
File NSS.HIRX.NN.D14118.S0656.E0850.B4605253.WIcomplite with code 0
File NSS.HIRX.NK.D14118.S1835.E2009.B8298081.GCcomplite with code 1
File NSS.HIRX.NK.D14119.S0611.E0805.B8298788.WIcomplite with code 1
File NSS.AMBX.NK.D14119.S0422.E0616.B8298687.WIcomplite with code 1
File NSS.HIRX.NK.D14119.S1811.E1945.B8299495.GCcomplite with code 1
File NSS.AMBX.NL.D14119.S0716.E0857.B7012223.GCcomplite with code 0
File NSS.HIRX.NP.D14119.S2356.E0147.B2691920.GCcomplite with code 0
File NSS.MHSX.NN.D14119.S0306.E0501.B4606465.WIcomplite with code 0
File NSS.HIRX.NP.D14118.S1713.E1859.B2690002.WIcomplite with code 0
File NSS.HIRX.NK.D14118.S2154.E2325.B8298283.GCcomplite with code 0
File NSS.MHSX.NN.D14119.S1958.E2153.B4607375.GCcomplite with code 0
File NSS.HIRX.NP.D14119.S1842.E2037.B2691517.GCcomplite with code 0
File NSS.HIRX.NK.D14118.S1645.E1840.B8297980.GCcomplite with code 0
File NSS.HIRX.NL.D14118.S0541.E0733.B7010708.GCcomplite with code 0
File NSS.AMAX.NN.D14119.S0130.E0312.B4606364.GCcomplite with code 0
File NSS.AMAX.NP.D14119.S1356.E1542.B2691314.GCcomplite with code 0
File NSS.AMAX.NN.D14118.S1844.E2039.B4605960.WIcomplite with code 1
File NSS.HIRX.NK.D14118.S2320.E0114.B8298384.GCcomplite with code 0
File NSS.HIRX.NN.D14119.S0130.E0312.B4606364.GCcomplite with code 0
File NSS.AMBX.NL.D14119.S0852.E1046.B7012324.WIcomplite with code 1
File NSS.HIRX.NL.D14119.S2248.E0041.B7013132.WIcomplite with code 1
File NSS.HIRX.NN.D14118.S2033.E2157.B4606061.WIcomplite with code 0
File NSS.MHSX.NP.D14119.S2031.E2220.B2691718.GCcomplite with code 0
File NSS.HIRX.NK.D14118.S0453.E0647.B8297273.WIcomplite with code 1
File NSS.HIRX.NL.D14118.S2259.E0053.B7011718.WIcomplite with code 1
File NSS.AMBX.NK.D14118.S0453.E0647.B8297273.WIcomplite with code 1
File NSS.AMAX.NP.D14118.S1548.E1718.B2690001.WIcomplite with code 1
File NSS.AMAX.NK.D14119.S2245.E0039.B8299698.GCcomplite with code 0
File NSS.HIRX.NK.D14120.S2040.E2234.B8300911.GCcomplite with code 0
File NSS.AMAX.NN.D14118.S0844.E1039.B4605354.GCcomplite with code 0
File NSS.HIRX.NK.D14118.S0831.E1015.B8297475.WIcomplite with code 0
File NSS.AMAX.NK.D14118.S0453.E0647.B8297273.WIcomplite with code 1
File NSS.MHSX.NN.D14118.S1844.E2039.B4605960.WIcomplite with code 1
File NSS.AMAX.NN.D14118.S1523.E1718.B4605758.GCcomplite with code 0
File NSS.HIRX.NL.D14118.S1244.E1436.B7011112.WIcomplite with code 0
File NSS.HIRX.NN.D14119.S0306.E0501.B4606465.WIcomplite with code 0
File NSS.AMAX.NN.D14119.S2147.E2336.B4607576.GCcomplite with code 0
File NSS.MHSX.NN.D14118.S1713.E1850.B4605859.GCcomplite with code 1
File NSS.MHSX.NN.D14118.S0844.E1039.B4605354.GCcomplite with code 0
File NSS.AMAX.NP.D14118.S1407.E1553.B2689900.GCcomplite with code 0
File NSS.MHSX.NP.D14119.S1842.E2037.B2691517.GCcomplite with code 0
File NSS.AMBX.NK.D14119.S0800.E0950.B8298889.WIcomplite with code 0
File NSS.AMAX.NL.D14119.S2057.E2252.B7013031.WIcomplite with code 0
...END
